record_id,sender_account,receiver_account,amount,currency,timestamp,reference,channel,region,status
REC000001,SND06730,RCV02290,92.00.00,USD,2026-08-31T11:45:00Z,REF-26299,SWIFT,APAC,SETTLED
REC000002,SND03565,RCV05658,95.00.00,USD,2026-08-31T16:20:00Z,REF-4881,SWIFT,APAC,SETTLED
REC000003,SND00445,RCV07675,57.00.00,USD,2026-08-31T13:06:00Z,REF-16354,SWIFT,APAC,SETTLED
REC000004,SND06660,RCV08637,64.00.00,USD,2026-08-31T01:57:00Z,REF-29606,SWIFT,APAC,SETTLED
REC000005,SND00709,RCV07279,22.00.00,USD,2026-08-31T11:23:00Z,REF-29203,SWIFT,APAC,SETTLED
REC000006,SND09826,RCV08564,98.00.00,USD,2026-08-31T01:04:00Z,REF-22041,SWIFT,APAC,SETTLED
REC000007,SND02310,RCV08993,0.00,USD,2026-08-31T09:08:00Z,REF-7008,SWIFT,APAC,SETTLED
REC000008,SND08575,RCV09509,65.00.00,USD,2026-08-31T14:48:00Z,REF-5696,SWIFT,APAC,SETTLED
REC000009,SND04233,RCV04749,5.00.00,USD,2026-08-31T06:48:00Z,REF-1366,SWIFT,APAC,SETTLED
REC000010,SND00453,RCV05412,52.00.00,USD,2026-08-31T02:37:00Z,REF-21943,SWIFT,APAC,SETTLED
REC000011,SND04096,RCV00923,25.00.00,USD,2026-08-31T03:14:00Z,REF-31439,SWIFT,APAC,SETTLED
REC000012,SND08611,RCV07048,56.00.00,USD,2026-08-31T08:38:00Z,REF-9853,SWIFT,APAC,SETTLED
REC000013,SND05870,RCV06965,74.00.00,USD,2026-08-31T22:02:00Z,REF-13973,SWIFT,APAC,SETTLED
REC000014,SND02612,RCV01004,79.00.00,USD,2026-08-31T01:43:00Z,REF-9322,SWIFT,APAC,SETTLED
REC000015,SND02541,RCV08778,62.00.00,USD,2026-08-31T05:34:00Z,REF-22067,SWIFT,APAC,SETTLED
REC000016,SND00446,RCV08441,59.00.00,USD,2026-08-31T11:15:00Z,REF-30785,SWIFT,APAC,SETTLED
REC000017,SND05098,RCV01407,54.00.00,USD,2026-08-31T12:29:00Z,REF-4593,SWIFT,APAC,SETTLED
REC000018,SND02261,RCV08132,19.00.00,USD,2026-08-31T13:38:00Z,REF-25344,SWIFT,APAC,SETTLED
REC000019,SND07675,RCV03341,30.00.00,USD,2026-08-31T10:01:00Z,REF-19386,SWIFT,APAC,SETTLED
REC000020,SND06137,RCV01592,14.00.00,USD,2026-08-31T13:05:00Z,REF-31045,SWIFT,APAC,SETTLED
REC000021,SND06564,RCV05306,6.00.00,USD,2026-08-31T13:15:00Z,REF-30838,SWIFT,APAC,SETTLED
REC000022,SND01728,RCV05220,29.00.00,USD,2026-08-31T21:43:00Z,REF-7456,SWIFT,APAC,SETTLED
REC000023,SND06282,RCV00238,82.00.00,USD,2026-08-31T22:57:00Z,REF-1003,SWIFT,APAC,SETTLED
REC000024,SND05433,RCV01390,83.00.00,USD,2026-08-31T11:30:00Z,REF-698,SWIFT,APAC,SETTLED
REC000025,SND00006,RCV09725,52.00.00,USD,2026-08-31T15:11:00Z,REF-7271,SWIFT,APAC,SETTLED
REC000026,SND00537,RCV00424,52.00.00,USD,2026-08-31T19:41:00Z,REF-11739,SWIFT,APAC,SETTLED
REC000027,SND07411,RCV06636,68.00.00,USD,2026-08-31T03:07:00Z,REF-29088,SWIFT,APAC,SETTLED
REC000028,SND00701,RCV01465,69.00.00,USD,2026-08-31T19:11:00Z,REF-9587,SWIFT,APAC,SETTLED
REC000029,SND09438,RCV05738,51.00.00,USD,2026-08-31T09:14:00Z,REF-27970,SWIFT,APAC,SETTLED
REC000030,SND00050,RCV07376,69.00.00,USD,2026-08-31T20:22:00Z,REF-28103,SWIFT,APAC,SETTLED
