trade_id,instrument,quantity,price,direction,trader_id,desk,timestamp,status
TRD001,AAPL,500,195.30,BUY,TDR001,EQUITIES,2026-08-31T09:00:00Z,EXECUTED
TRD002,MSFT,300,415.75,SELL,TDR002,EQUITIES,2026-08-31T09:05:00Z,EXECUTED
TRD003,GOOGL,100,175.20,BUY,TDR003,EQUITIES,2026-08-31T09:10:00Z,EXECUTED
TRD004,AMZN,200,190.50,BUY,TDR001,EQUITIES,2026-08-31T09:15:00Z,EXECUTED
TRD005,TSLA,1000,245.80,SELL,TDR004,EQUITIES,2026-08-31T09:20:00Z,EXECUTED
TRD006,NVDA,150,120.40,BUY,TDR002,EQUITIES,2026-08-31T09:25:00Z,EXECUTED
TRD007,META,400,530.10,SELL,TDR003,EQUITIES,2026-08-31T09:30:00Z,EXECUTED
TRD008,JPM,600,215.60,BUY,TDR005,EQUITIES,2026-08-31T09:35:00Z,EXECUTED
TRD009,BAC,800,42.30,SELL,TDR001,EQUITIES,2026-08-31T09:40:00Z,EXECUTED
TRD010,GS,50,460.20,BUY,TDR004,EQUITIES,2026-08-31T09:45:00Z,EXECUTED
